"details","date","city","state","country","shape","summary","report_date","posted_date","image"
"https://nuforc.org/sighting/?id=170802",NA,"Lingan, Cape Breton Island","NS","Canada","Cylinder","We were waiting for fireworks to start across the harbour when we noticed it...",NA,NA,""
"https://nuforc.org/sighting/?id=170804",NA,"Conway","SC","USA","Orb","Round bright white light go in a straight line like I’m in Conway Hills heading like going Columbia South Carolina Way",NA,NA,""
"https://nuforc.org/sighting/?id=171567",NA,"Keyser","WV","USA","Orb","Saw an orb that interacted with me.",NA,NA,""
"https://nuforc.org/sighting/?id=170799",NA,"gressham","OR","USA","Unknown","A single soft red light that pulsed three times then disappeared",NA,NA,""
"https://nuforc.org/sighting/?id=170808",NA,"Eddyville","KY","USA","Changing","3 craft were flying. 2 disappeared 1 hovered, made 90 degree turn, then became an oval balloon looking craft, then disappeared",NA,NA,"Y"
"https://nuforc.org/sighting/?id=170800",NA,"Carpinteria","CA","USA","Diamond","I saw this disk above my head I just can't think of what it could be",NA,NA,""
"https://nuforc.org/sighting/?id=170794",NA,"Tacoma","WA","USA","Orb","Multiple bright lights",NA,NA,"Y"
"https://nuforc.org/sighting/?id=170823",NA,"Syosset","NY","USA","Circle","White round",NA,NA,"Y"
"https://nuforc.org/sighting/?id=170807",NA,"Charlotte","NC","USA","Circle","Bright white light that moved fairly quickly then turned red and dim until no longer visible NOT ISS",NA,NA,""
"https://nuforc.org/sighting/?id=170805",NA,"Burnet","TX","USA","Circle","Took 3 photos . It changed shape progressively",NA,NA,"Y"
"https://nuforc.org/sighting/?id=173582",NA,"","PA","USA","Orb","I caught the white orb on camera I also had what look like a star w blinking lights like a rainbow",NA,NA,""
"https://nuforc.org/sighting/?id=170888",NA,"Seattle","WA","USA","Formation","Viewed 3 lights in a line and another single light fly in formation over Puget sound from South to north",NA,NA,""
"https://nuforc.org/sighting/?id=170827",NA,"Naples","FL","USA","Rectangle","Bright white light looks square",NA,NA,"Y"
"https://nuforc.org/sighting/?id=170815",NA,"Near Chicago Area","IL","USA","Orb","Bright light, almost like a very bright star, slowly hovering laterally, then making a turn back above the clouds",NA,NA,""
"https://nuforc.org/sighting/?id=170826",NA,"Tacoma","WA","USA","Light","Lights in forest and coming into my room, during day it looks a silhouette of transparent heat waves,",NA,NA,""
"https://nuforc.org/sighting/?id=175068",NA,"Goshen","CT","USA","Other","Dim but distinct shaped object in the night sky.",NA,NA,"Y"
"https://nuforc.org/sighting/?id=170867",NA,"Flemington","NJ","USA","Diamond","Hovering object in the southeast sky about 30 degrees above the horizon",NA,NA,"Y"
"https://nuforc.org/sighting/?id=170828",NA,"Fremont","CA","USA","Disk","Fastest UFO flying very close",NA,NA,""
"https://nuforc.org/sighting/?id=170914",NA,"Bella Vista","AR","USA","Cigar","A disk that had lights on it hovered over the lake and disappeared in a blink of an eye.",NA,NA,""
"https://nuforc.org/sighting/?id=170812",NA,"Dorchester","MA","USA","Rectangle","Looked up & saw a large pulsing ball of light. Took video & enlarged it 2x’s & noticed it’s actually a rectangle of light",NA,NA,"Y"
"https://nuforc.org/sighting/?id=170829",NA,"Dalton Gardens","ID","USA","Orb","Satellite type of light moving horizontally west to east disappearing",NA,NA,""
"https://nuforc.org/sighting/?id=170803",NA,"Philadelphia","PA","USA","Orb","Flying orb or sphere that changes colors and physical form.",NA,NA,""
"https://nuforc.org/sighting/?id=172405",NA,"Harrisburg","PA","USA","Unknown","It's orbs all on me",NA,NA,""
"https://nuforc.org/sighting/?id=170831",NA,"Wexford","PA","USA","Cigar","I think it was the chinese ship, it was tumbling and clearly visible with my scope. I have video and stills.",NA,NA,"Y"
"https://nuforc.org/sighting/?id=170796",NA,"Mossy Point","New South Wales","Australia","Cross","A white light, which looked like a planet, moved erratically, to eliminate it being a plane or satellite. Refer video.",NA,NA,""
"https://nuforc.org/sighting/?id=170814",NA,"Newark","NJ","USA","Orb","25-30 white orbs coming from behind a cloud over Newark and slowly vanishing",NA,NA,"Y"
"https://nuforc.org/sighting/?id=170824",NA,"Hicksville","NY","USA","Other","Black orb",NA,NA,"Y"
"https://nuforc.org/sighting/?id=170839",NA,"Chenoa","IL","USA","Oval","Oval moving slightly north east to slightly south west.",NA,NA,""
"https://nuforc.org/sighting/?id=170836",NA,"River Forest","IL","USA","Sphere","Saw two silver spherical shapes in the sky which moved slowly eastward. They could by balloons but I thought I would file a report anyw",NA,NA,""
"https://nuforc.org/sighting/?id=170760",NA,"Sydney","New South Wales","Australia","Orb","Floating translucent orb",NA,NA,""
"https://nuforc.org/sighting/?id=170759",NA,"Eudora","KS","USA","Light","I saw a star move then take off",NA,NA,""
"https://nuforc.org/sighting/?id=173037",NA,"North Dartmouth","MA","USA","Circle","Woke up to see a very bright light emitting showers of sparks moving South to North",NA,NA,""
"https://nuforc.org/sighting/?id=170752",NA,"Randolph","VT","USA","Light","My husband and I saw a distinct large light hovering in the sky rotating for roughly a half hour.",NA,NA,""
"https://nuforc.org/sighting/?id=170769",NA,"Treknow","Cornwall","United Kingdom","Orb","Bright Orb, moving very slowly, changed course left in a smooth like fashion, doubled back on itself quickly, light remained but dimmed",NA,NA,""
"https://nuforc.org/sighting/?id=170833",NA,"Gothenburg","Västra Götaland County","Sweden","","My firend recorded this sighting while he was working. He send what he recorded via snapchat. He was looking for an answer.",NA,NA,""
"https://nuforc.org/sighting/?id=170845",NA,"Maupin","OR","USA","Oval","Unknown Object hovering beyond canyon",NA,NA,""
"https://nuforc.org/sighting/?id=170818",NA,"Grand Junction","CO","USA","Disk","Some multiple crafts from back porch",NA,NA,""
"https://nuforc.org/sighting/?id=170822",NA,"Penn Run","PA","USA","Orb","The craft REACTED to me in a way that made it apparent it was observing me as it mimicked my motions and those of my lighter.",NA,NA,""
"https://nuforc.org/sighting/?id=170764",NA,"Florence","KY","USA","Light","Balls of light mistaken for distant stars but they would come closer and farther drift together and apart. Crescent light, 10 ufo minim",NA,NA,""
"https://nuforc.org/sighting/?id=170771",NA,"Ipswich","Suffolk","United Kingdom","Light","2 lights round crossing each other turning fast",NA,NA,""
"https://nuforc.org/sighting/?id=170819",NA,"Mendota","CA","USA","Light","3 large, linear, bright white lights approx 600' - 1000' feet in width.",NA,NA,""
"https://nuforc.org/sighting/?id=170834",NA,"Mendota","CA","USA","Triangle","3 linear lights approx. 600' across 100'-300' off the ground",NA,NA,""
